,# STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
379851,CID000004691,CID000074989,C0015967,body temperature increased
709650,CID000003003,CID000005512,C0003537,aphasia
2305538,CID000002187,CID000004666,C0025874,Breakthrough bleeding
455650,CID000004679,CID000005487,C0013395,dyspepsia
1013668,CID000004138,CID000005732,C0035078,kidney failure
1392998,CID000005029,CID000010631,C0011991,diarrhea
2395791,CID000005656,CID000060147,C1260880,rhinorrhea
1506664,CID000003672,CID000041774,C0009676,confusion
1464528,CID000004691,CID003081884,C0039231,heart rate increased
1606632,CID000002187,CID000005514,C0221776,mouth pain
783596,CID000000271,CID000005038,C0151620,encephalopathy hypertensive
1828635,CID000004889,CID000093860,C0041657,loss of consciousness
1404828,CID000004920,CID000005039,C0029089,ophthalmoplegia
1600395,CID000039765,CID000071273,C0039231,heart rate increased
1401545,CID000004075,CID000062924,C0009806,constipated
692226,CID000002156,CID000002520,C0035222,Acute Respiratory Distress Syndrome
797672,CID000002375,CID000004171,C0020649,arterial pressure NOS decreased
2052159,CID000002083,CID000054547,C0033774,itch
655889,CID000004205,CID000005002,C0039239,sinus tachycardia
1197630,CID000003961,CID000077999,C0003615,appendicitis
7115,CID000000450,CID000002678,C0151706,bleeding Vaginal
2112704,CID000003158,CID004475485,C0026769,multiple sclerosis
1456639,CID000002250,CID000003648,C0030794,pain pelvic
1771371,CID000003883,CID000005152,C0221776,mouth pain
845858,CID000000450,CID000005487,C0007859,cervicalgia
198372,CID000003003,CID000005523,C0085649,edema extremities
1119664,CID000002088,CID000005523,C0085615,bundle branch block right
1588211,CID000005090,CID000005203,C0497156,Adenopathy
2522720,CID000000853,CID000060865,C0029408,Osteoarthritis
2330469,CID000004873,CID000005005,C0034063,lung edema
1741138,CID000002895,CID000004885,C0151766,Abnormal LFTs
328178,CID000002550,CID000005038,C0039231,heart rate increased
1043078,CID000002269,CID000003062,C0151699,haemorrhage intracranial
2161984,CID000002118,CID000060852,C0016382,facial flushing
1269326,CID000003652,CID000003767,C0030196,Extremity pain
2352413,CID000002749,CID000003255,C0017672,glossodynia
2259154,CID000002895,CID000005090,C0026946,fungal disease
2293711,CID000002802,CID000003823,C0750426,increased white blood cell count
440531,CID000004635,CID000060831,C0020649,arterial pressure NOS decreased
1246827,CID000004034,CID000004885,C0011053,deafness
2476366,CID000002156,CID000003348,C0311394,difficulty in walking
1744151,CID000004583,CID000019090,C0008350,cholelithiasis
533027,CID000004236,CID000006691,C0085584,encephalopathy
1460700,CID000004052,CID000004091,C0018674,head injury
271026,CID000003899,CID000004112,C0007462,causalgia
679679,CID000000937,CID000004107,C0004604,Back Ache
819652,CID000002250,CID000002806,C0020456,hyperglycaemia
55936,CID000003696,CID000028112,C0018674,head injury
1298104,CID000003350,CID000004173,C0037284,skin lesion
616264,CID000003157,CID000005152,C0020517,allergies
2470004,CID000002118,CID000002803,C0011124,Decreased Libido
2498145,CID000003676,CID000003883,C0085615,bundle branch block right
2139007,CID000000271,CID000005095,C0003864,arthritis
1928981,CID000000143,CID000003148,C0022658,disorder Renal
602962,CID000004091,CID000004259,C0023211,bundle branch block left
548722,CID000003016,CID000003203,C0041755,ADVERSE DRUG EFFECT
2147595,CID000003016,CID000003348,C0085602,excessive thirst
343828,CID000005656,CID005487301,C0004238,AFIB
888795,CID000002764,CID000003640,C0398353,Hypoventilation
358027,CID000003367,CID000004583,C0017181,gastrointestinal bleed
1339833,CID000003639,CID000005064,C0015403,eye infection
139784,CID000002585,CID000003345,C0013384,abnormal movements
1071389,CID000002658,CID000002812,C0016382,facial flushing
485030,CID000003393,CID000004691,C0017160,gastroenteritis
91101,CID000000853,CID000002083,C0152031,joint swelling
1011783,CID000000853,CID000005245,C0149516,chronic sinusitis
1832449,CID000002250,CID000002658,C0030554,Paraesthesia
1348046,CID000003446,CID000003877,C0006277,bronchitis
2246861,CID000003672,CID000123620,C0002103,allergic rhinitis
2524869,CID000001983,CID000004510,C0085615,bundle branch block right
398382,CID000002662,CID000004585,C0011880,diabetic acidosis
2053450,CID000002678,CID000003148,C0015695,fatty liver
830282,CID000002267,CID000004691,C0019291,hernia hiatal
1080297,CID000003746,CID000005002,C0035854,acne rosacea
913696,CID000004679,CID000123620,C0042109,hive
387173,CID000003157,CID000004091,C0700594,radiculopathy
1440729,CID000002909,CID000005645,C1260880,rhinorrhea
490626,CID000002909,CID005311181,C0243026,sepsis
175065,CID000004583,CID000004740,C0002871,anaemia
1630100,CID000003003,CID000003154,C0020473,hyperlipaemia
1096550,CID000005412,CID000170361,C0015672,Fatigue
567891,CID000000937,CID000003961,C0043096,loss of weight
1159052,CID000003746,CID003002190,C0018965,blood in urine
1734860,CID000003672,CID000005391,C0014868,esophagitis
2512043,CID000002244,CID000005512,C0020649,arterial pressure NOS decreased
1847011,CID000002895,CID000003463,C0017086,gangrene
531681,CID000004107,CID000005732,C0013428,dysuria
2121164,CID000003152,CID000003405,C0011609,dermatitis medicamentosa
1910148,CID000004409,CID000005379,C0263912,rotator cuff syndrome
1997513,CID000004691,CID000005352,C0020538,High blood pressure
2279637,CID000002666,CID000004112,C0151632,elevated erythrocyte sedimentation rate
2354168,CID000003958,CID000004034,C0015230,eruption
1785461,CID000000450,CID000004946,C0033953,psychosexual disorder
455376,CID000004159,CID000004894,C0018989,hemiparesis
664049,CID000003355,CID000006691,C0476254,dyslexia
1830634,CID000002162,CID000054547,C0011175,dehydration
505204,CID000004513,CID000027661,C0011168,deglutition disorder
2247110,CID000004510,CID005353980,C0018802,Cardiac decompensation
1609072,CID000002522,CID000004594,C0020443,elevated cholesterol
2278541,CID000004112,CID000130881,C0235329,Small intestinal obstruction
482279,CID000004510,CID000004829,C0024103,Breast Lump
1914401,CID000004173,CID000005358,C0021400,flu
2267406,CID000000143,CID000003446,C0026821,cramp
1649290,CID000002520,CID000003661,C0000737,abdominal pain
275653,CID000002678,CID000004691,C0004093,asthenia
748028,CID000004473,CID000004946,C0004030,aspergillosis
1286443,CID000002284,CID000119607,C0027441,nasopharyngitis
1683458,CID000004885,CID000027661,C0009806,constipated
737342,CID000002585,CID000123620,C0149516,chronic sinusitis
576509,CID000005376,CID000027661,C0037299,cutaneous ulcer
466178,CID000002802,CID000005487,C0008033,pleural pain
2186232,CID000002083,CID000002662,C0003123,Anorexia
945966,CID000004634,CID000005039,C0020453,hyperaesthesia
482543,CID000005039,CID000150311,C0009676,confusion
1011218,CID000002162,CID000004583,C0870082,hyperkeratosis
1547061,CID000034312,CID000054688,C0015695,fatty liver
1750888,CID000003003,CID000003648,C0017181,gastrointestinal bleed
340529,CID000002308,CID000004594,C0037199,Sinusitis
174675,CID000001302,CID000150311,C0423798,Easy bruisability
1786227,CID000004170,CID000004173,C0023890,cirrhosis
1714545,CID000004170,CID000006691,C0242379,lung neoplasm malignant
229356,CID000005732,CID004659569,C0398353,Hypoventilation
825651,CID000002160,CID000005544,C0031090,periodontal disease
173753,CID000004614,CID000005514,C0012833,dizziness
1108122,CID000002909,CID000147912,C0015695,fatty liver
1780166,CID000002806,CID000004171,C0007642,cellulitis
1756029,CID000002662,CID000005656,C0027441,nasopharyngitis
498043,CID000003325,CID000083786,C0003874,Arthritis bacterial
1305438,CID000005267,CID000125017,C0004604,Back Ache
1726661,CID000002895,CID000003780,C0575090,balance disorder
562900,CID000003476,CID000004411,C0043352,aptyalism
2260783,CID000000942,CID000119607,C0015732,faecal incontinence
2255105,CID000003345,CID000054454,C0031099,periodontitis
835117,CID000004409,CID000005090,C0020490,hypermetropia
714040,CID000004583,CID000150311,C0020295,hydronephrosis
881444,CID000003911,CID000005376,C0013604,edema
403303,CID000003032,CID000160051,C0006444,bursitis
1044020,CID000003310,CID000060147,C0016382,facial flushing
2148108,CID000000853,CID000004856,C0085680,hypochloraemia
1582806,CID000000853,CID000005647,C0011615,allergic dermatitis
1656670,CID000002771,CID000003062,C0178415,elevated prostate specific antigen
2262069,CID000004543,CID000004927,C0015672,Fatigue
2099447,CID000003339,CID000003488,C0033860,psoriasis
323409,CID000041781,CID000064147,C0001824,agranulocytoses
897273,CID000002088,CID000005379,C0750426,increased white blood cell count
1554045,CID000003957,CID000005376,C0022408,arthropathy
264973,CID000003157,CID000003365,C0020615,hypoglycaemia
1016994,CID000003510,CID003468412,C0151744,Cardiac ischemia
485805,CID000002554,CID000003062,C0043144,wheeze
1996967,CID000000937,CID000002806,C0040423,tonsillectomy
1867611,CID000000853,CID000003152,C0028734,nocturia
706334,CID000003016,CID000060831,C0151825,bone pain
2067779,CID000004485,CID000087177,C0085786,fibrosing alveolitis
2500006,CID000000450,CID000005512,C0003873,Arthritis rheumatoid
845808,CID000000450,CID000005487,C0013456,ear ache
1501682,CID000005095,CID005487301,C0010200,Cough
145303,CID000000772,CID000004691,C0008350,cholelithiasis
385892,CID000002666,CID000062924,C0039240,Supraventricular tachycardia
117215,CID000004583,CID000005379,C0020517,allergies
1465334,CID000005512,CID003468412,C0012833,dizziness
387184,CID000003157,CID000004091,C0085605,Hepatic failure
514963,CID000004585,CID000150311,C0040136,thyroid neoplasia
1756896,CID000002662,CID000003825,C0032617,polyuria
1548998,CID000000444,CID000110635,C0020443,elevated cholesterol
433222,CID000004058,CID000005656,C0020676,hypothyroid
1574348,CID000003559,CID000003648,C0243026,sepsis
1821873,CID000002250,CID003081884,C0008767,Scar
367436,CID000004205,CID000028112,C0349231,phobia
298053,CID000005005,CID000160051,C0030554,Paraesthesia
1293162,CID000003121,CID000003403,C0398353,Hypoventilation
2028986,CID000004253,CID000216239,C0027424,nasal congestion
2049922,CID000002284,CID000005212,C0029443,osteomyelitis
331259,CID000002083,CID000003419,C0011168,deglutition disorder
319697,CID000002895,CID000003661,C0009938,bruise
1037430,CID000002662,CID000002802,C0011880,diabetic acidosis
897460,CID000003640,CID000003746,C0025222,black stools
1826878,CID000003640,CID000028112,C0007642,cellulitis
2220205,CID000002812,CID003468412,C0034063,lung edema
2505052,CID000004691,CID000054454,C0575081,Abnormal Gait
960244,CID000004253,CID000005523,C0006849,candidiasis of mouth
423042,CID000003676,CID000110635,C0398353,Hypoventilation
2545142,CID000002265,CID000005090,C0007117,basal cell carcinoma
558504,CID000004034,CID000004168,C0010692,Bladder inflammation
825384,CID000003877,CID000054454,C0497156,Adenopathy
255690,CID000001983,CID000145068,C0242184,hypoxia
274473,CID000003706,CID000005039,C0012833,dizziness
1569197,CID000000444,CID000003325,C0678222,Breast cancer
2209123,CID000002160,CID000004829,C0003850,arteriosclerosis
821190,CID000005002,CID005311297,C0520474,aseptic necrosis bone
2189212,CID000002895,CID000003672,C0017574,gingivitis
21654,CID000004091,CID000005496,C0398353,Hypoventilation
2540851,CID000003750,CID000005152,C0011175,dehydration
1856424,CID000004171,CID000091270,C0004604,Back Ache
1415635,CID000003883,CID000005478,C0149871,deep vein thromboses
602162,CID000002764,CID000005376,C0042373,angiopathy
2316897,CID000003958,CID000005090,C0917798,cerebral ischaemia
1968646,CID000062924,CID000170361,C0522055,abnormal ECG
1606408,CID000002249,CID000005556,C0012691,dislocation
912951,CID000002678,CID000004259,C0851578,sleep disorder
1854190,CID000003696,CID005311297,C0020458,hyperhidrosis
1128445,CID000002764,CID006398525,C0017168,acid reflux
1557595,CID000003345,CID000003878,C0038999,bulging
525205,CID000002162,CID000060865,C0004604,Back Ache
601056,CID000002650,CID000004595,C0000731,abdominal distension
1586443,CID000003158,CID000004112,C0242184,hypoxia
1171742,CID000003325,CID000123620,C0042373,angiopathy
358373,CID000002171,CID000002802,C0036572,convulsion
227762,CID000001065,CID000005029,C0042487,phlebothrombosis
846129,CID000003157,CID000005291,C0085624,burning sensation
2286347,CID000005039,CID000060877,C0020458,hyperhidrosis
1949743,CID000000444,CID000002022,C0003864,arthritis
1236073,CID000003648,CID005311297,C0030193,Pain
2518726,CID000002118,CID000002756,C0019360,herpes zoster
594310,CID000004634,CID005311297,C0009676,confusion
600609,CID000003869,CID000004679,C0030252,palpitation
762637,CID000002308,CID000003962,C0149725,Chest infection
710744,CID000004075,CID000005090,C0012833,dizziness
755341,CID000004946,CID000005735,C0038454,apoplexy
607390,CID000002083,CID000443871,C0263912,rotator cuff syndrome
1494207,CID000003121,CID000004616,C0040435,tooth disease
432944,CID000000596,CID000002083,C0013221,drug toxicity NOS
2369903,CID000003310,CID000003911,C0027424,nasal congestion
1098084,CID000003325,CID000028112,C0018989,hemiparesis
2148396,CID000005038,CID000005544,C0041582,ulcer
1187899,CID000003957,CID000005651,C0522224,palsies
2425990,CID000004091,CID000004585,C0025323,heavy menstrual period
54140,CID000002764,CID000003961,C0022658,disorder Renal
439040,CID000000444,CID000005650,C0001339,acute pancreatitis
541533,CID000003003,CID005353980,C0024121,lung neoplasms
2271599,CID000002249,CID005362420,C0039070,Fainting
1920030,CID000002895,CID000004583,C0232605,regurgitation
1515560,CID000003957,CID000027661,C0024115,Disorder Lung
1664281,CID000087177,CID000150311,C0013395,dyspepsia
2010815,CID000003780,CID000003957,C0015230,eruption
1449565,CID000004510,CID000004920,C0023067,laryngitis
2503165,CID000005039,CID000005090,C0149520,cholecystitis acute
888321,CID000004170,CID000004205,C0036983,septic shock
983429,CID000001302,CID000004159,C0019348,herpes simplex
612393,CID000002585,CID005311048,C0085610,sinus bradycardia
992648,CID000004946,CID000038904,C0003537,aphasia
493119,CID000005039,CID000005394,C0151723,Hypomagnesaemia
380179,CID000002656,CID000004894,C0001126,renal tubular acidosis
2279117,CID000005478,CID000005647,C0020625,blood sodium decreased
2057509,CID000005203,CID000213039,C0015230,eruption
734806,CID000000143,CID000003161,C0037199,Sinusitis
1811867,CID000083786,CID000216326,C0011603,dermatitides
1944435,CID000000596,CID000002907,C0018946,hematoma subdural
2279518,CID000003877,CID000005076,C0043096,loss of weight
682998,CID000003042,CID000005732,C0686347,tardive dyskinesia
913726,CID000004679,CID000123620,C0042345,varicose vein
1775793,CID000003062,CID000004585,C0004238,AFIB
701688,CID000002646,CID000002756,C0030252,palpitation
119068,CID000001302,CID000004205,C0017152,gastric inflammation
83177,CID000003899,CID000005523,C0021311,infection
98258,CID000004510,CID005311048,C0024117,chronic obstructive airway disease
174576,CID000001302,CID000150311,C0392525,Nephrolithiasis
2520240,CID000003676,CID000005090,C0011334,dental caries
1456499,CID000003158,CID000005487,C0002103,allergic rhinitis
1160700,CID000002550,CID000005372,C0018681,Head ache
68080,CID000002118,CID000004058,C0002170,alopecia
1760552,CID000004536,CID000004583,C0020040,hot flash
810439,CID000003161,CID000005656,C0027497,nausea
1098054,CID000003325,CID000028112,C0015806,femoral neck fracture
2031532,CID000005514,CID000123620,C0042109,hive
1782012,CID000002666,CID000003161,C0014868,esophagitis
896634,CID000000271,CID003085017,C1257843,colitis pseudomembranous
183347,CID000002520,CID000004091,C0085605,Hepatic failure
1290435,CID000005005,CID000068740,C0020538,High blood pressure
607068,CID000005195,CID000005650,C0032227,Pleural Effusion
463394,CID000002083,CID000003075,C0022408,arthropathy
411246,CID000005487,CID000005732,C0151480,antinuclear antibody positive
733412,CID000004873,CID000005408,C0020649,arterial pressure NOS decreased
406700,CID000119607,CID000150311,C0151908,dry skin
1153507,CID000002656,CID000148192,C0030312,bone marrow failure
2297637,CID000004946,CID000005267,C0009676,confusion
507714,CID000002541,CID000003386,C0085619,orthopnea
884897,CID000003121,CID000004052,C0277925,Cold extremities
1337084,CID000000444,CID000002554,C0033893,tension headache
1821593,CID000004691,CID000148211,C0009806,constipated
267294,CID000004873,CID000083786,C0014534,epididymitis
1731315,CID000003672,CID000004510,C0037199,Sinusitis
727580,CID000004205,CID000004946,C0032227,Pleural Effusion
600207,CID000005647,CID000216326,C0040034,thrombocytopenia
1190699,CID000002244,CID000004236,C0006444,bursitis
1626154,CID000003310,CID000003648,C0000737,abdominal pain
2315514,CID000005203,CID000508230,C0013404,Difficulty breathing
1623218,CID000004171,CID000004536,C0015967,body temperature increased
1407510,CID000003463,CID000004594,C0022660,acute kidney failure
2000439,CID000003516,CID000004873,C0220981,metabolic acidosis
355611,CID000002244,CID000005402,C0009241,cognitive disorder
1211997,CID000002666,CID006398525,C0004623,Bacterial infection
257992,CID000001978,CID000002250,C0013404,Difficulty breathing
1287042,CID000002554,CID000002771,C0006277,bronchitis
339419,CID000005487,CID000005514,C0004134,Ataxia
1227965,CID000005203,CID000125889,C0042487,phlebothrombosis
2406008,CID000002802,CID000068740,C0011168,deglutition disorder
25545,CID000004609,CID000019090,C0013404,Difficulty breathing
2009693,CID000003121,CID000004666,C0032285,neumonia
399553,CID000002284,CID000002895,C0013404,Difficulty breathing
1707992,CID000002806,CID000006691,C0278008,Altered Bowel Function
2412384,CID000002520,CID000004052,C0027497,nausea
2496807,CID000004946,CID000005203,C0085584,encephalopathy
2306794,CID000000772,CID000002610,C0008350,cholelithiasis
2070722,CID000003310,CID000005426,C0015967,body temperature increased
1141089,CID000004419,CID000004594,C0010200,Cough
898434,CID000000596,CID000151165,C0020615,hypoglycaemia
2046049,CID000003672,CID000010631,C0004239,atrial flutter
1577902,CID000002764,CID000004058,C0026821,cramp
1563988,CID000004885,CID004659568,C0019158,hepatitis
1593819,CID000003222,CID000005210,C0011175,dehydration
711343,CID000003746,CID000065999,C0151904,Aspartate Aminotransferase Increase
1074450,CID000002249,CID000003899,C0008325,cholecystitis
2036805,CID000002083,CID000005203,C0151723,Hypomagnesaemia
2082805,CID000002269,CID000054688,C0042769,Infection Viral
176233,CID000002771,CID000003310,C0027404,narcolepsy
1918793,CID000004635,CID000060147,C0022671,kidney transplant
1117274,CID000003640,CID000003661,C0021400,flu
750544,CID000002662,CID000003449,C0162316,iron deficiency anaemia
2252415,CID000000444,CID000003350,C0917801,insomnia
1755855,CID000002662,CID000005651,C0231528,aching muscles
2420477,CID000002462,CID000004547,C0003862,Aching joints
325103,CID000003652,CID000003878,C0221776,mouth pain
1964111,CID000000444,CID000002802,C0575090,balance disorder
526768,CID000005203,CID000005234,C0043144,wheeze
2248677,CID000003958,CID000003964,C0004604,Back Ache
252406,CID000004674,CID000004900,C0031039,pericardial effusion
273,CID000005267,CID000010631,C0020625,blood sodium decreased
626471,CID000002250,CID000091270,C0029443,osteomyelitis
2208674,CID000003883,CID000004900,C0311394,difficulty in walking
1843567,CID000003157,CID000110635,C0398353,Hypoventilation
1244868,CID000002678,CID000003559,C0032285,neumonia
2451482,CID000004691,CID000005514,C0018799,cardiac disease
1857119,CID000000444,CID000004205,C0162429,malnourished
2054402,CID000004253,CID000005732,C0263912,rotator cuff syndrome
597472,CID000150311,CID004183806,C0041834,erythema
1957945,CID000003958,CID000005426,C0008031,chest pain
2313765,CID000003143,CID000003461,C0026946,fungal disease
2336953,CID000002617,CID000002802,C1527344,dysphonia
669313,CID000003075,CID000003348,C0034069,lung fibrosis
1101825,CID000002764,CID000060835,C0242184,hypoxia
1818664,CID000004409,CID000004635,C0033687,proteinuria
1764237,CID000002524,CID000003780,C0263912,rotator cuff syndrome
1029635,CID000004583,CID000005002,C0030193,Pain
1449163,CID000004510,CID000004927,C0149931,migraine
990615,CID000004259,CID000005651,C0027947,Neutropenia
1860904,CID000003640,CID000005651,C0022660,acute kidney failure
1594091,CID000003003,CID000003394,C0037299,cutaneous ulcer
708148,CID000003446,CID000005212,C0003123,Anorexia
2082996,CID000002265,CID000005732,C0027947,Neutropenia
2157834,CID000004253,CID000005544,C0009241,cognitive disorder
1416670,CID000003746,CID000004547,C0040822,tremor
2233114,CID000002771,CID000005533,C0023418,Leukaemia
1576322,CID000004091,CID000032797,C0011127,decubitus ulcer
707434,CID000003154,CID000004594,C0152027,sensory disturbance
738560,CID000003016,CID000003121,C0018681,Head ache
2073287,CID000003957,CID000004075,C0018681,Head ache
2393296,CID000002250,CID000003386,C0018790,asystole
1223909,CID000002803,CID000125017,C0030193,Pain
2013240,CID000004259,CID000004543,C0038454,apoplexy
1638627,CID000001972,CID000002244,C0010692,Bladder inflammation
1106818,CID000004834,CID000054688,C0040034,thrombocytopenia
1923002,CID000004927,CID000005029,C0085649,edema extremities
1740285,CID000004212,CID000004594,C0149931,migraine
1528407,CID000077999,CID001349907,C0575090,balance disorder
1525646,CID000002462,CID000002895,C0231807,Dyspnea exertional
1543874,CID000002662,CID000003003,C0035258,Ekbom Syndrome
2087397,CID000004946,CID000059708,C0013604,edema
1547637,CID000004748,CID000006691,C0043096,loss of weight
892635,CID000003516,CID000060147,C0034065,Embolism pulmonary
701696,CID000002646,CID000002756,C0043094,weight gain
314911,CID000004927,CID000005401,C0004093,asthenia
395132,CID000002477,CID000004927,C0032285,neumonia
348205,CID000001065,CID000005035,C0038525,subarachnoid haemorrhage
1790720,CID000002083,CID000002907,C0037287,Nodule Skin
2116964,CID000002284,CID000005487,C0023798,lipoma
154623,CID000000143,CID000003348,C0032227,Pleural Effusion
1870253,CID000003003,CID000004601,C0037199,Sinusitis
302167,CID000003639,CID000005538,C0017181,gastrointestinal bleed
352539,CID000003121,CID000004585,C0018799,cardiac disease
2246958,CID000003152,CID000005514,C0010054,arteriosclerotic heart disease
470267,CID000004171,CID000104865,C0013144,drowsiness
1981358,CID000000444,CID000004510,C0005779,Clotting
751006,CID000002662,CID000003446,C0036439,Scoliosis
520336,CID000003639,CID000005210,C0013604,edema
1839526,CID000003962,CID000004075,C0027051,heart attack
1549061,CID000002806,CID000003734,C0015967,body temperature increased
1674777,CID000002462,CID000005090,C0152027,sensory disturbance
1446623,CID000002160,CID000005073,C0398353,Hypoventilation
1305888,CID000004171,CID000004463,C0020517,allergies
2073513,CID000001690,CID000002249,C0011334,dental caries
872091,CID000003961,CID000004927,C0151723,Hypomagnesaemia
2453398,CID000003467,CID000005203,C0017979,glucosuria
1328276,CID000003043,CID000148192,C0242422,Parkinson
304753,CID000004583,CID003468412,C0029456,osteoporosis
192816,CID000005544,CID000005651,C0020456,hyperglycaemia
2152745,CID000002656,CID000004253,C0318712,gastroenteritis viral
2190575,CID000002118,CID000004509,C0041582,ulcer
289308,CID000000450,CID000087177,C0023530,leucopenia
491802,CID000001071,CID000005039,C0024115,Disorder Lung
540226,CID000003042,CID000004889,C0027051,heart attack
1362154,CID000000937,CID000002435,C0032285,neumonia
2284075,CID000002462,CID000087177,C0398353,Hypoventilation
928780,CID000005038,CID000005372,C0020621,hypokalaemia
323838,CID000003350,CID000004873,C0034150,peliosis
1163545,CID000003672,CID000148211,C0040460,dental pain
229699,CID000002249,CID000005039,C0002962,angina
2042326,CID000004112,CID000012536,C0013404,Difficulty breathing
1618137,CID000004171,CID000004594,C1282799,Penile swelling
793967,CID000003658,CID000130881,C0151908,dry skin
300266,CID000001065,CID000003749,C0085624,burning sensation
2533387,CID000002806,CID000041781,C0035410,rhabdomyolysis
821413,CID000005203,CID000005523,C0917801,insomnia
493664,CID000004173,CID000005039,C0002884,anaemia hypochromic
2176228,CID000002541,CID000004599,C0678222,Breast cancer
953687,CID000003652,CID000005735,C0003467,Anxiety
1103376,CID000000444,CID000003516,C0026946,fungal disease
665476,CID000001117,CID000003937,C0007642,cellulitis
1660189,CID000002265,CID000003454,C0030312,bone marrow failure
367937,CID000003899,CID000065999,C0151632,elevated erythrocyte sedimentation rate
1602856,CID000004259,CID000005234,C0011168,deglutition disorder
94776,CID000008953,CID000071616,C0005961,bone marrow transplant
1105962,CID000004236,CID000004679,C0007177,Cardiac tamponade
1863810,CID000002909,CID004475485,C0149871,deep vein thromboses
1082125,CID000004609,CID000087177,C0152031,joint swelling
147526,CID000002173,CID000004873,C0002871,anaemia
2522513,CID000003463,CID000003878,C0035078,kidney failure
2507834,CID000004034,CID000004236,C0003862,Aching joints
1467013,CID000004171,CID000150311,C0020540,malignant hypertension
982780,CID000004946,CID000005584,C0018790,asystole
806188,CID000003958,CID000005732,C0020676,hypothyroid
1417242,CID000002244,CID000004178,C0018790,asystole
208856,CID000003158,CID000003222,C0013395,dyspepsia
163002,CID000003749,CID000004829,C0699885,bladder cancer
1083461,CID000003793,CID000005073,C0442874,neuropathy
2216980,CID000002160,CID000062924,C0037315,sleep apnea
720027,CID000002749,CID000004679,C0007859,cervicalgia
2082173,CID000002622,CID000093860,C0036974,cardiovascular collapse
2175250,CID000004601,CID000005090,C0032285,neumonia
1881756,CID000003108,CID000060184,C0040586,Tracheobronchitis
1372352,CID000004594,CID000005206,C0080179,Spinal fracture
588059,CID000000942,CID000004536,C0018524,Hallucination
1402139,CID000005035,CID000054454,C0678222,Breast cancer
435653,CID000003148,CID000003911,C0008301,choking
1136754,CID000054454,CID003468412,C0277925,Cold extremities
2052755,CID000004740,CID000005391,C0027497,nausea
1409186,CID000001983,CID000005212,C0001122,Acidosis
1306126,CID000003957,CID000004112,C0318712,gastroenteritis viral
1906643,CID000004192,CID000006691,C0027947,Neutropenia
2216922,CID000002160,CID000062924,C0018799,cardiac disease
17074,CID000005152,CID003468412,C0442874,neuropathy
